County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Longitude,Latitude,Street Address
Queens,730097,Store,JAC,GOOD NEIGHBOR SUNNYSIDE SUPERMARK,GOOD NEIGHBOR SUNNYSIDE,45-60,46TH ST,,,WOODSIDE,NY,11377,5000,-73.919072,40.741318,45-60 46TH ST
Kings,730051,Store,JAC,BRIGHTON SUPER DEALS INC,BRIGHTON SUPER DEALS,100-120,BRIGHTON BEACH AVE,,,BROOKLYN,NY,11235,7000,-73.968262,40.576253,100-120 BRIGHTON BEACH AVE
New York,730049,Store,JAC,COLUMBUS NATURAL FOOD INC,COLUMBUS NATURAL FOOD,725,COLUMBUS AVE,,,NEW YORK,NY,10025,5000,-73.967827,40.792445,725 COLUMBUS AVE
Queens,730006,Store,JAC,BH KEYFOOD NY LLC,KEY FOOD,220-46,HILLSIDE AVE,,,QUEENS VILLAGE,NY,11427,12000,-73.742013,40.731084,220-46 HILLSIDE AVE
Queens,729868,Store,JAC,VILLAGE BARN LTD,VILLAGE BARN,80-05,CALDWELL AVE,,,MIDDLE VILLAGE,NY,11379,8500,-73.879175,40.72564,80-05 CALDWELL AVE
Queens,729824,Store,JAC,JANUS NEW YORK INC,BILLYS MARKETPLACE,870,CYPRESS AVE,,,RIDGEWOOD,NY,11385,10000,-73.905131,40.699483,870 CYPRESS AVE
Kings,729795,Store,JAC,REID ORGANICS LLC,HALSEY TRADERS MARKET,245,MALCOM X BLVD,,,BROOKLYN,NY,11221,7000,-73.929502,40.685169,245 MALCOM X BLVD
Kings,729307,Store,JAC,A&C SEAFOOD & MEAT MARKET INC,A&C SEAFOOD & MEAT MARK,1237,AVENUE U,,,BROOKLYN,NY,11229,7000,-73.958686,40.598589,1237 AVENUE U
Kings,729300,Store,JAC,POM GROUP INC,LINCOLN MARKET,1133,MANHATTAN AVE,,,BROOKLYN,NY,11222,8000,-73.955369,40.736939,1133 MANHATTAN AVE
New York,729261,Store,JAC,70 CEDAR PEARL LLC,CITY ACRES MARKET,70,PINE ST,,,NEW YORK,NY,10005,14000,-74.00774,40.706208,70 PINE ST
New York,729188,Store,JAC,WHOLE FOODS MARKET GROUP IN,WHOLE FOODS MARKET,100,WEST 125TH STREET,,,NEW YORK,NY,10027,40000,-73.945967,40.807981,100 WEST 125TH STREET
Kings,728967,Store,JAC,187 PRODUCE CORP,SHOP FAIR,187,TROY AVENUE,,,BROOKLYN,NY,11213,7000,-73.936315,40.672899,187 TROY AVENUE
New York,728890,Store,JAC,JANET FOOD CORP,KEY FOOD FRESH MARKET,2630,FREDERICK DOUGLASS BOULEVARD,,,NEW YORK,NY,10030,8000,-73.943905,40.820128,2630 FREDERICK DOUGLASS BOULEVARD
Kings,728804,Store,JAC,RENHE MARKET INC,JMART,8121,NEW UTRECH AVE,,,BROOKLYN,NY,11214,30000,-74.0016,40.610025,8121 NEW UTRECH AVE
Kings,728655,Store,JAC,ISAAC APPLE FARM INC,ISAAC APPLE FARM,329,CHURCH AVE,,,BROOKLYN,NY,11218,7000,-73.976658,40.643967,329 CHURCH AVE
Queens,728646,Store,JAC,MSNY MARKET INC,GW SUPERMARKET,41-79,MAIN STREET,,,FLUSHING,NY,11355,21000,-73.82846,40.755834,41-79 MAIN STREET
Kings,728626,Store,JAC,KP FARM MARKET CORP,KP FARM MARKET,1887,NOSTRAND AVE,,,BROOKLYN,NY,11226,5000,-73.948369,40.639548,1887 NOSTRAND AVE
