County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Longitude,Latitude,Street Address
Bronx,733174,Store,JAC,LA RUBIA DELI GROCERY CORP,LA RUBIA DELI GROCERY,1849,ANTHONY AVENUE,,,BRONX,NY,10457,900,-73.903713,40.847492,1849 ANTHONY AVENUE
Bronx,733173,Store,JAC,HOT CORNER MEAT MARKET INC,HOT CORNER MEAT MARKET,205,EAST 167TH STREET,,,BRONX,NY,10456,1800,-73.916314,40.834108,205 EAST 167TH STREET
Bronx,733169,Store,JAC,VISTA H DELI $ GROCERY INC,VISTA H DELI $ GROCERY,1782,WESTCHESTER AVENUE,,,BRONX,NY,10472,1100,-73.867088,40.831673,1782 WESTCHESTER AVENUE
Kings,733168,Store,JAC,MOCHA ORGANIC MARKET INC,HEALTHY CHOICE MARKET,299,HALSEY STREET,,,BROOKLYN,NY,11216,1400,-73.941104,40.682813,299 HALSEY STREET
Kings,733166,Store,JAC,MYRTLE AVE FAMILY MARKET INC,MYRTLE AVE FAMILY MARKE,1470,MYRTLE AVE,,,BROOKLYN,NY,11237,3000,-73.915797,40.699071,1470 MYRTLE AVE
New York,733161,Store,JAC,PRIME GOURMET MARKET INC,PRIME GOURMET MARKET,1770,1ST AVENUE,,,NEW YORK,NY,10128,2000,-73.946743,40.780462,1770 1ST AVENUE
Kings,733159,Store,JAC,MAHI 624 INC,SOUTH SLOPE'S SUBS N ST,624,5TH AVENUE,,,BROOKLYN,NY,11215,1200,-73.991398,40.66329,624 5TH AVENUE
Bronx,733156,Store,JAC,SUPER BEST DELI CORP,SUPER BEST DELI,201,W 242ND STREET,,,BRONX,NY,10471,1000,-73.898441,40.889499,201 W 242ND STREET
Kings,733154,Store,JAC,LUCKY 3 DELI CORP,LUCKY 3 DELI,2124,AVENUE X,,,BROOKLYN,NY,11235,1600,-73.948334,40.592952,2124 AVENUE X
Queens,733151,Store,JAC,AAA DELI GROCERY & GRILL INC,AAA DELI GROCERY&GRILL,50-60,48TH ST,,,WOODSIDE,NY,11377,1000,-73.91832,40.735533,50-60 48TH ST
Kings,733145,Store,JAC,77 GOURMET DELI OF BAY RIDGE INC.,77 GOURMET DELI,7625,5TH AVENUE,,,BROOKLYN,NY,11209,1500,-74.023246,40.627981,7625 5TH AVENUE
Bronx,733142,Store,JAC,GARDEN FRESH GOURMET DELI CORP,GARDEN FRESH GOURMET,969,MORRIS PARK AVENUE,,,BRONX,NY,10462,2500,-73.85723,40.847667,969 MORRIS PARK AVENUE
Bronx,733139,Store,JAC,E & R DELI GROCERY CORP,E & R DELI GROCERY,1492,VYSE AVE,,,BRONX,NY,10460,2000,-73.888278,40.832908,1492 VYSE AVE
Queens,733136,Store,JAC,JALPA 117 INC,METRO DELI & GROCERY,11701,HILLSIDE AVENUE,,,RICHMOND HILL,NY,11418,1000,-73.832655,40.700207,11701 HILLSIDE AVENUE
Kings,733134,Store,JAC,SOS KOSHER FISH MARKET INC THE,SOS KOSHER FISH MARKET,1602,AVENUE M,,,BROOKLYN,NY,11230,1200,-73.958878,40.618132,1602 AVENUE M
New York,733116,Store,JAC,SERIE 56 DELI GROCERY INC,SERIE 56 DELI GROCERY,1915,LEXINGTON AVE,,,NEW YORK,NY,10035,1200,-73.94034,40.800372,1915 LEXINGTON AVE
Richmond,733073,Store,JAC,MI PUEBLO MEAT MARKET INC,MI PUEBLO MEAT,189,PORT RICHMOND AVE,,,STATEN ISLAND,NY,10302,3000,-74.134283,40.636744,189 PORT RICHMOND AVE
Queens,733041,Store,JAC,SIMPLY ORGANIC 1 DELI & GRILL COR,SIMPLY ORGANIC 1 DELI &,21025,JAMAICA AVE,,,QUEENS VILLAGE,NY,11428,1200,-73.750181,40.714989,21025 JAMAICA AVE
Bronx,733035,Store,JAC,1918 GROCERY CORP,1918 GROCERY,1918,LACOMBE AVENUE,,,BRONX,NY,10473,800,-73.856987,40.81564,1918 LACOMBE AVENUE
Queens,733034,Store,JAC,YUMZE INC,YUMZE,2001,NEW HAVEN AVE,,,FAR ROCKAWAY,NY,11691,1000,-73.753969,40.600745,2001 NEW HAVEN AVE
Kings,733033,Store,JAC,MR NATURAL DELI CORP,MR NATURAL DELI,281,NOSTRAND AVE,,,BROOKLYN,NY,11216,1000,-73.95129,40.688979,281 NOSTRAND AVE
Queens,733026,Store,JAC,6 BROTHERS MARKET & DELI CORP,6 BROTHERS MARKET & DEL,5307,ROCKAWAY BEACH BLVD,,,FAR ROCKAWAY,NY,11691,1000,-73.783828,40.59257,5307 ROCKAWAY BEACH BLVD
New York,733012,Store,JAC,LES GOURMET DELI CORP,LES GOURMET DELI,207,HENRY ST,,,NEW YORK,NY,10002,1500,-73.987251,40.713633,207 HENRY ST
Kings,732987,Store,JAC,CROWN HEIGHTS MEAT STORE INC,CH BUTCHER,411-415,TROY AVENUE,,,BROOKLYN,NY,11213,1500,-73.937082,40.664586,411-415 TROY AVENUE
Kings,732963,Store,JAC,AMEER GOURMET DELI CORP,AMEER GOURMET DELI,209,LEWIS AVE,,,BROOKLYN,NY,11221,1500,-73.936292,40.689223,209 LEWIS AVE
Kings,732954,Store,JAC,KINGS MEAT MARKETS CORP,KINGS MEAT MARKETS,603-605,BRIGHTON BEACH AVE.,,,BROOKLYN,NY,11235,4000,-73.961264,40.577656,603-605 BRIGHTON BEACH AVE.
Kings,732944,Store,JAC,76 CUCCIS DELI INC,76 CUCCIS DELI,7602,18TH AVENUE,,,BROOKLYN,NY,11214,1000,-73.996707,40.612677,7602 18TH AVENUE
Kings,732935,Store,JAC,BLESSED MINI MARKET DELI GROCERY,BLESSED MINI MARKET DEL,1443,FULTON ST,,,BROOKLYN,NY,11216,1200,-73.943574,40.680066,1443 FULTON ST
Kings,732930,Store,JAC,EL SINAI DELI MEAT MARKET CORP,EL SINAI DELI MEAT MARK,853,4TH AVENUE,,,BROOKLYN,NY,11232,1200,-74.00162,40.656904,853 4TH AVENUE
New York,732926,Store,JAC,KING COLUMBUS GOURMET DELI INC,KING COLUMBUS GOURMET D,900,COLUMBUS AVE,,,NEW YORK,NY,10025,750,-73.963744,40.79805,900 COLUMBUS AVE
Queens,732923,Store,JAC,J & F N DELI & GRILL INC,J & F N DELI & GRILL,145-89,GUY R BREWER BLVD,,,JAMAICA,NY,11434,1500,-73.768498,40.663782,145-89 GUY R BREWER BLVD
Kings,732922,Store,JAC,NATURAL JUICE NY CORP,NATURAL JUICE NY,501,FRANKLIN AVE,,,BROOKLYN,NY,11238,1300,-73.955743,40.681501,501 FRANKLIN AVE
New York,732919,Store,JAC,ANGELES GROCERY CORP,ANGELES GROCERY,1626,PARK AVENUE,,,NEW YORK,NY,10029,2000,-73.943767,40.798849,1626 PARK AVENUE
Bronx,732918,Store,JAC,BANGLATOWN INC,BANGLATOWN,3566B,JEROME AVE,,,BRONX,NY,10467,1800,-73.879711,40.884683,3566B JEROME AVE
Kings,732917,Store,JAC,RANDYS FOOD MART CORP,RANDYS FOOD MART,378,UTICA AVE,,,BROOKLYN,NY,11213,2000,-73.931447,40.665377,378 UTICA AVE
Bronx,732899,Store,JAC,TITA MINI MARKET 2 CORP,TITA MINI MARKET 2,137,E. GUN HILL RD,,,BRONX,NY,10467,1200,-73.879146,40.88139,137 E. GUN HILL RD
New York,732875,Store,JAC,JUDE NY INC,ANAN GOURMET DELI,2391,FREDERICK DOUGLASS BLVD,,,NEW YORK,NY,10027,3000,-73.94969,40.81219,2391 FREDERICK DOUGLASS BLVD
Kings,732874,Store,JAC,ELDERT FOOD MARKET CORP,ELDERT FOOD MARKET,233,ELDERT STREET,,,BROOKLYN,NY,11207,2000,-73.908911,40.690948,233 ELDERT STREET
Kings,732846,Store,JAC,5 DEMAYO FOOD MARKET 2 CORP,5 DEMAYO FOOD MARKET 2,7104,3RD AVENUE,,,BROOKLYN,NY,11209,2000,-74.02674,40.634051,7104 3RD AVENUE
